City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Beyneu,KZ,2022-01-21 03:42:23,45.3167,55.2,26.91,84,100,9.55
232,Gat,IL,2022-01-21 03:42:23,31.61,34.7642,46.08,100,15,6.73
233,Yarmouth,US,2022-01-21 03:42:24,41.7057,-70.2286,31.96,71,100,28.01
234,Rockhampton,AU,2022-01-21 03:42:04,-23.3833,150.5,84.09,58,75,11.5
235,West Richland,US,2022-01-21 03:39:52,46.3043,-119.3614,50.76,71,0,8.99
236,Aktash,RU,2022-01-21 03:42:25,50.3,87.7333,-3.69,96,73,3.85
237,Alexandria,EG,2022-01-21 03:41:04,31.2156,29.9553,48.74,52,100,2.84
238,Broome,US,2022-01-21 03:42:26,42.2506,-75.833,11.7,77,100,1.99
239,Makakilo City,US,2022-01-21 03:42:26,21.3469,-158.0858,79.12,67,0,6.91
240,Sumbe,AO,2022-01-21 03:42:26,-11.2061,13.8437,71.8,85,100,7.14
241,Victoria,HK,2022-01-21 03:38:42,22.2855,114.1577,68.38,76,100,1.99
242,Sesheke,ZM,2022-01-21 03:42:27,-17.4759,24.2968,61.88,88,100,4.23
243,Vanderhoof,CA,2022-01-21 03:42:28,54.0166,-124.0198,34.14,82,34,10.49
244,Kitimat,CA,2022-01-21 03:41:24,54.0524,-128.6534,42.91,38,100,1.99
245,Chernyshevskiy,RU,2022-01-21 03:42:28,63.0128,112.4714,5.88,95,100,6.08
246,Isilkul,RU,2022-01-21 03:42:29,54.9109,71.2728,0.97,91,100,5.93
247,Launceston,AU,2022-01-21 03:38:04,-41.45,147.1667,81.61,36,6,4.0
248,Ballina,AU,2022-01-21 03:42:29,-28.8667,153.5667,78.84,67,75,19.57
249,Nisia Floresta,BR,2022-01-21 03:42:30,-6.0911,-35.2086,80.98,86,29,4.61
250,Bridlington,GB,2022-01-21 03:40:03,54.0831,-0.1919,35.29,76,23,12.86
251,Namibe,AO,2022-01-21 03:42:31,-15.1961,12.1522,68.27,83,90,3.69
252,Taksimo,RU,2022-01-21 03:42:31,56.3444,114.8794,-8.16,95,64,1.43
